"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Gameplay.Slider:Dynamic lane selection","Dynamische Fahrspurwahl","Dynamic lane selection","Selección de carril dinámico","Sélection de voie dynamique","Dinamikus sávválasztás","Selezione dinamica della corsia","動的レーン選択","유동적 차량 차선변경 빈도","Dynamische rijstrookkeuze","Obszar dynamicznej zmiany pasa ruchu","Seleção dinâmica de faixas","Выбор случайной полосы движения","動態車道選擇","智能车道选择","Dynamic lane selection","Değişken şerit seçimi","Динамічна (хаотична) зміна полоси руху","Dynamická změna jízdních pruhů","Dynamická zmena jazdných pruhov","การเลือกเลนแบบไดนามิก","Alegere dinamicâ de bandă","","ﻲﻜﻴﻣﺎﻨﻳﺪﻟﺍ ﺓﺭﺎﺤﻟﺍ ﺭﺎﻴﺘﺧﺍ","Pilihan lajur dinamis","Độ linh hoạt khi chọn làn xe","Dynaaminen kaistanvalinta"
"Gameplay.Checkbox:Enable advanced vehicle AI","Verbesserte Fahrzeug-KI aktivieren","Enable Advanced Vehicle AI","Activar IA de vehículos avanzada","Activer l'IA avancée des véhicules","Fejlett jármű MI engedélyezése","Abilita IA dei veicoli avanzata","Advanced Vehicle AIを有効にする","개선된 차량 AI 활성화","Verbeterde voertuig-AI activeren","Włącz Zaawansowaną Sztuczną Inteligencję Pojazdów","Ativar IA avançada de veículo","Улучшенная логика для транспорта","啟用加強版行車 AI","启用高级车辆AI","Enable Advanced Vehicle AI","Gelişmiş taşıt YZ'sını etkinleştir","Покращена логіка руху автотранспорту","Zapnout rozšířenou inteligenci vozidel","Aktivovať rozširenú inteligenciu vozidiel","เปิดใช้งาน AI ยานพาหนะขั้นสูง","Permite Ai avansat pentru vehicule","","ﺔﺒﻛﺮﻤﻠﻟ ﻲﻋﺎﻨﻄﺻﻻﺍ ﺀﺎﻛﺬﻟﺍ ﻞﻴﻌﻔﺗ","Aktifkan AI maju untuk kendaraan","Kích hoạt trí tuệ nhân tạo cho xe cộ nâng cao","Salli edistyksellinen tekoäly ajoneuvoille"
"Gameplay.Checkbox:Enable more realistic parking","Aktiviere realistisches Parken","Enable more realistic parking","Activar estacionamientos más realistas","Activer le stationnement plus réaliste","Reálisabb parkolás engedélyezése","Abilita un utilizzo più realistico dei parcheggi","より現実的な駐車を有効にする","더 현실적인 주차 활성화","Schakel realistischer parkeren in","Aktywuj bardziej realistyczny system parkowania samochodów","Habilitar estacionamento mais realista","Более реалистичные правила парковки","啟用更真實的停車AI","启用更真实的停车AI","Enable more realistic parking","Daha gerçekçi park etmeyi etkinleştir","Дозволити реалістичні правила паркування","Zapnout reálnější parkování","Aktivovať realistické parkovanie","เปิดใช้งานการจอดรถแบบสมจริง","Permite parcare mai realistică","","ﺔﻴﻌﻗﺍﻭ ﺮﺜﻛﺍ ﻒﻗﺍﻮﻣ ﻦﻴﻜﻤﺗ","Aktifkan parkir lebih realistis","Làm cho việc đỗ xe chân thực hơn","Salli todenmukaisempi pysäköinti"
"Gameplay.Dropdown.Option:Holy City (0%)","Heilige Stadt (0 %)","Holy City (0 %)","Ciudad divina (0 %)","Ville Sainte (0 %)","Szent város (0%)","Città Santa (0%)","天国 (0 %)","평온한 도시 (0%)","Heilige stad (0 %)","Święte Miasto (0 %)","Cidade Santa (0 %)","Идеальное поведение (0 %)","守法乖寶寶(0%)","遵纪守法 (0 %)","Holy City (0 %)","Kutsal Şehir (0%)","Місто чесних людей 0%","Klidné město (0%)","Kľudné mesto (0%)","เมืองสวรรค์ (0%)","Oră de vârf (5%)","","(0 %) ﺔﺳﺪﻘﻤﻟﺍ ﺔﻨﻳﺪﻤﻟﺍ","Kota Suci (0%)","Tuyệt đối tuân thủ luật (0%)","Uskovainen kaupunki (0%)"
"Gameplay.Checkbox:Individual driving styles","Individuelle Fahrstile","Individual driving styles","Estilos de manejo individuales","Individual driving styles","Egyéni vezetési stílusok","Stili di guida individuali","個人個人の運転スタイル","개인별 주행 스타일","Individuele rijstijlen","Zróżnicowane style jazdy","Estilos de direção individuais","Индивидуальные стили вождения","個人駕車風格","个人驾驶风格","Individual driving styles","Bireysel sürüş tarzları","Індивідуальні стилі водіння","Individuální styly řízení","Individuálne štýly riadenia","รูปแบบการขับขี่เฉพาะบุคคล","Stiluri individuale de condus","","ﺔﻳﺩﺮﻔﻟﺍ ﺓﺩﺎﻴﻘﻟﺍ ﺐﻴﻟﺎﺳﺃ","Gaya menyetir individual","Phong cách lái xe riêng biệt","Yksilölliset ajotyylit"
"Gameplay.Dropdown.Option:Minor Complaints (2%)","Einige Beschwerden (2 %)","Minor Complaints (2 %)","Colisiones menores (2 %)","Plaintes mineures (2 %)","Kisebb panaszok (2%)","Reclami minori (2%)","ほとんど不満なし (2 %)","사소한 불평들 (2%)","Enige klachten (2 %)","Drobne Skargi (2 %)","Reclamações Usuais (2 %)","Нарушаем понемножку (2 %)","對不起借過(2%)","稍有违法 (2 %)","Minor Complaints (2 %)","Küçük Şikayetler (2%)","Незначні порушення 2%","Drobné stížnosti (2%)","Drobné sťažnosti (2%)","มีการฟ้องร้องเล็กน้อย (2 %)","Reclamații minore (2%)","","(% 2) ﻯﺮﻐﺼﻟﺍ ﻱﻭﺎﻜﺸﻟﺍ","Keluhan Minor (2%)","Phàn nàn nho nhỏ (2 %)","Joitain valituksia (2%)"
"Gameplay.Group:Parking AI","Parkplatz-KI","Parking AI","IA de estacionamientos","IA de stationnement","Parkolás MI","IA del parcheggio","駐車AI","주차 AI","Parkeer-AI","SI parkowania","IA de estacionamento","Выбор места для парковки","道路停車AI","停车AI","Parking AI","Park Etme YZ'sı","Логіка паркування","Inteligence parkování","Inteligencia parkovania ","AI การจอดพาหนะ","Parcare Ai","","ﺔﻴﻛﺬﻟﺍ ﻒﻗﻮﻤﻟﺍ","AI parkir","Sử dụng trí tuệ nhân tạo trong việc đỗ xe","Pysäköintitekoäly"
"Gameplay.Dropdown.Option:Path Of Evil (10%)","Pfad des Bösen (10 %)","Path Of Evil (10 %)","El mismo infierno (10 %)","Chemin du Mal (10 %)","A gonosz ösvénye (10%)","Sentiero del male (10%)","悪路 (10 %)","악마의 도로 (10%)","Pad van het kwaad (10 %)","Diabelska Ścieżka (10 %)","Caminho do mal (10 %)","Дай дорогу дураку (10 %)","馬路我最大(10%)","无视法纪 (10 %)","Path Of Evil (10 %)","Yoldan Çıkmışlık (10%)","Столичний час-пік 10%","Agresivní (10%)","Dopravná špička (10%)","ทางแห่งความชั่วร้าย (10%)","Calea Răului (10%)","","(% 10) ﺀﻱﺩﺭ ﺭﺎﺴﻣ","Jalan Kejahatan (10%)","Quái xế (10%)","Pahan polku (10%)"
"Gameplay.Checkbox:No excessive transfers","Verhindere übertriebenes Umsteigen an Haltestellen","Prevent unnecessary transfers at public transport stations","Prevenir transferencias innecesarias en estaciones de transporte público","Empêcher les transferts inutiles dans les stations de transport public","Szükségtelen átszállások elkerülése az állomásokon","Previeni trasferimenti innecessari nelle stazioni del trasporto pubblico","公共交通機関での不必要な輸送を防ぐ","대중교통 역에서의 불필요한 환승을 방지","Voorkom onnodige transfers op stations van het openbaar vervoer","Zapobiegaj nadmiernej liczbie przesiadek na przystankach transportu publicznego","Previne transferências desnecessárias nas estações de transporte público","Меньше ненужных пересадок при поездках","避免不必要的大眾運輸轉乘","避免公共交通中进行不必要的换乘","Prevent unnecessary transfers at public transport stations","Gereksiz aktarmalar yapma","Зменшити кількість пересадок пасажирів","Vyhnout se přecházení silnic u stanic městské dopravy","Vyhnúť sa prechádzaniu ciest pri staniciach mestskej dopravy","ป้องกันการถ่ายโอนผู้โดยสารโดยไม่จําเป็นที่สถานีขนสาธารณะ","Prevenirea inutilă de transfer la stațiile de transport public","","ﻡﺎﻌﻟﺍ ﻞﻘﻨﻟﺍ ﺕﺎﻄﺤﻣ ﻲﻓ ﺔﻳﺭﻭﺮﻀﻟﺍ ﺮﻴﻏ ﻞﻘﻨﻟﺍ ﺕﺎﻴﻠﻤﻋ ﻊﻨﻣ","Cegahkan perpindahan yang tidak diperlukan pada stasiun transportasi umum","Ngăn sự chuyển tuyến không cần thiết tại nhà ga phương tiện công cộng","Ei ylimääräisiä vaihtoja julkisen liikenteen pysäkeillä"
"Gameplay.Group:Public transport","Öffentlicher Personennahverkehr","Public transport","Transporte público","Transport public","Tömegközlekedés","Trasporto pubblico","公共交通機関","대중교통","Openbaar vervoer","Transport publiczny","Transporte Público","Общественный транспорт","大眾運輸","公共交通","Public transport","Toplu taşıma","Міський транспорт","Veřejná doprava","Verejná doprava","ระบบขนส่งสาธารณะ","Transport public","","ﻡﺎﻌﻟﺍ ﻞﻘﻨﻟﺍ","Transportasi umum","Giao thông công cộng","Julkinen liikenne"
"Gameplay.Dropdown:Reckless drivers%","Rücksichtsloses Fahren","Reckless drivers percentage","Conducción agresiva","Conduite téméraire","Felelőtlen vezetés","Percentuale di guida spericolata","無謀運転 (ベータ機能/いくらかの市民が交通ルールを無視します)","난폭한 운전자 비율","Roekeloos rijden","Lekkomyślna jazda","Direção imprudente","Процент нарушителей ПДД","違規駕駛比率","违规驾驶比率","Reckless drivers percentage","Trafik canavarları","Процент водіїв-порушників","Bezohlednost řidičů","Bezohľadnosť vodičov","ร้อยละของผู้ขับขี่อย่างประมาท","Șoferi enervați%","","ﻦﻳﺭﻮﻬﺘﻤﻟﺍ ﻦﻴﻘﺋﺎﺴﻟﺍ ﺔﺒﺴﻧ","Persentase supir sembrono","Mức độ điên rồ của người lái%","Holtiton ajo"
"Gameplay.Checkbox:Increase road condition impact","Der Straßenzustand hat einen größeren Einfluss auf die Geschwindigkeit","Road condition has a bigger impact on vehicle speed","La condición de la calle tiene un mayor impacto en la rapidez de los vehículos","La condition de la voirie a un plus grand impact sur la vitesse des véhicules","Az út állapota nagyobb hatással van a jármű sebességére","Le condizioni stradali hanno un maggiore impatto sulla velocità dei veicoli","路面状況がより大きな影響を車両速度に与える","도로 상태가 차량 속도에 더 크게 영향을 미침","De staat van de weg beïnvloedt de snelheid van voertuigen meer","Kondycja nawierzchni drogi ma większy wpływ na prędkość pojazdu","A condição da estrada tem um impacto maior na velocidade do veículo","Состояние дороги сильнее влияет на скорость","道路狀態對車速有較大的影響","道路状况对车辆速度会有较大影响","Road condition has a bigger impact on vehicle speed","Yol durumu etkisini arttır","Стан покриття дороги більше впливає на швидкість","Stav silnic má větší dopad na rychlost dopravy","Stav ciest má väčší dopad na rýchlosť dopravy","สภาพถนนมีผลต่อความเร็วของยานพาหนะ","Condiția drumului contribuie mai mult la viteza vehiculelor","","ﺓﺭﺎﻴﺴﻟﺍ ﺔﻋﺮﺳ ﻰﻠﻋ ﺮﺒﻛﺃ ﺮﻴﺛﺄﺗ ﺎﻬﻟ ﻖﻳﺮﻄﻟﺍ ﺔﻟﺎﺣ","Kondisi jalan memiliki dampak yang lebih besar terhadap kecepatan kendaraan","Tình trạng đường sá ảnh hưởng hơn nữa đến tốc độ xe","Tien kunnon suurempi vaikutus ajonopeuteen"
"Gameplay.Dropdown.Option:Rush Hour (5%)","Feierabendverkehr (5 %)","Rush Hour (5 %)","Hora Punta (5 %)","Heure de Pointe (5 %)","Csúcsforgalom (5%)","Ora di punta (5%)","ラッシュアワー (5 %)","러시 아워 (5%)","Spitsuur (5 %)","Godziny Szczytu (5 %)","Hora do Rush (5 %)","Час пик (5 %)","上班趕時間(5%)","鲁莽驾驶 (5 %)","Rush Hour (5 %)","İş çıkışı (5%)","Час-пік в обласному центрі 5%","Spěch (5%)","Dopravná špička (5%)","ชั่วโมงเร่งด่วน (5%)","Oră de vârf (5%)","","(% 5) ﺓﻭﺭﺬﻟﺍ ﺔﻋﺎﺳ","Jam Sibuk (5%)","Giờ cao điểm (5%)","Ruuhka-aika (5%)"
"Gameplay.Group:Vehicle behavior","Fahrzeugverhalten","Vehicle behavior","Comportamiento vehícular","Comportement des véhicules","Járművek viselkedése","Comportamento del veicolo","車両の挙動","차량 행동","Voertuiggedrag","Zachowanie pojazdu","Comportamento do veículo","Поведение транспорта","車輛行為","车辆行为","Vehicle behaviour","Taşıt davranışı","Поведінка автотранспорту","Zásady chování vozidel","Správanie vozidiel","พฤติกรรมของยานพาหนะ","Comportamentul vehiculelor","","ﺓﺭﺎﻴﺴﻟﺍ ﻙﻮﻠﺳ","Tingkah laku kendaraan","Hành vi của phương tiện","Ajokäyttäytyminen"
"General.Checkbox:Apply AI changes right away","Anpassungen treten sofort in Kraft","Apply AI changes right away","Los modificaciones tendrán efecto instantáneamente","Les personnalisations prennent effet instantanément","Az MI változtatások azonnali alkalmazása","Le modifiche avranno effetto immediatamente","カスタマイズが即座に有効になります","AI 변경을 즉시 적용","Aanpassingen zijn onmiddellijk van toepassing","Modyfikacje ustawień mają natychmiastowy efekt","Aplicar as alterações de IA imediatamente","Настройки транспортной логики применяются сразу","自訂值即時生效","订制模拟真实度将立即生效","Apply AI changes right away","YZ değişikliklerini anında uygula","Намагатися одразу активувати зміни в параметрах логіки","Ihned aplikovat změny pro umělou inteligenci","Okamžite aktivovať zmeny pre umelú inteligenciu","นําการเปลี่ยนแปลง AI ไปใช้ทันที","Aplica modificările Ai-ului imediat","","ﺭﻮﻔﻟﺍ ﻰﻠﻋ ﻲﻋﺎﻨﻄﺻﻻﺍ ﺀﺎﻛﺬﻟﺍ ﺕﺍﺮﻴﻴﻐﺗ ﻖﻴﺒﻄﺗ","Terapkan perubahan AI sekarang juga","Áp dụng ngay lập tức thay đổi của AI","Salli tekoälyn muutokset välittömästi"
"General.Checkbox:Compact main menu","Kompaktes Hauptmenü","Compact main menu","Menú principal compacto","Menu principal compact","Kompakt főmenü","Menù principale compatto","コンパクトメインメニュー","컴팩트한 메인 메뉴","Compact hoofdmenu","Kompaktowe menu główne","Menu principal compacto","Компактное Главное меню","縮小按鈕選單","小型主菜单","Compact main menu","Küçültülmüş ana menü","Компактне головне меню","Zobrazit menší panel nabídky","Zobraziť menší panel nadstavení","เมนูหลักขนาดกะทัดรัด","Meniu principal compact","","ﺔﺠﻣﺪﻤﻟﺍ ﺔﻴﺴﻴﺋﺮﻟﺍ ﺔﻤﺋﺎﻘﻟﺍ","Perlihatkan panel menu utama yang kecil","Bảng chính nhỏ gọn","Tiivis valikko"
"General.Checkbox:Enable tutorials","Tutorial aktivieren","Enable tutorial messages","Activar mensajes tutoriales","Activer les messages du didactitiel","Az oktatóüzenetek engedélyezése","Abilita tutorial","チュートリアルメッセージを有効にする","튜토리얼 메세지 활성화","Tutorials inschakelen","Włącz podpowiedzi","Habilitar tutoriais","Включить обучающие сообщения","啟用新手指南","启用教程信息","Enable tutorial messages","Eğitselleri etkinleştir","Включити підказку по інструментам","Zapnout nápovědu","Aktivovať tutorialy","เปิดใช้งานข้อความบทช่วยสอน","Permite mesaje ajutătoare","","ﻲﻤﻴﻠﻌﺘﻟﺍ ﺞﻣﺎﻧﺮﺒﻟﺍ ﻞﺋﺎﺳﺭ ﻞﻴﻌﻔﺗ","Aktifkan pesan tutorial","Bật thông điệp hướng dẫn","Salli käyttöohjeet"
"General.Dropdown.Option:Game language","Spielsprache","Game language","Idioma del juego","Langue du jeu","A játék nyelve","Lingua di gioco","ゲームの言語","게임 언어","Taal van het spel","Język gry","Linguagem do jogo","Язык игры","遊戲顯示語言","跟随游戏语言","Game language","Oyun dili","Мова гри","Čeština","Slovenčina","ภาษาของเกม","Limbă","","ﺔﺒﻌﻠﻟﺍ ﺔﻐﻟ","Bahasa game","Ngôn ngữ hệ thống","Pelin kieli"
"General.Dropdown.Option:Language Name","Deutsch","English","Español","Français","Magyar","Italiano","日本語","한국어","Nederlands","Polski","Português","Русский","繁體中文","简体中文","English (UK)","Türkçe","Українська","Čeština","Slovenčina","ภาษาไทย","Română","Occitan","ﺔﻴﺑﺮﻌﻟﺍ","Bahasa Indonesia","Tiếng Việt","Suomi"
"General.Checkbox:Lock main menu button position","Position der Hauptmenü-Schaltfläche sperren","Lock main menu button position","Bloquear la posición del menú principal","Verrouiller la position du bouton du menu principal","Főmenü gomb pozíciójának zárolása","Blocca posizione del bottone (menu)","メインメニューボタン位置をロックする","메인 메뉴 버튼 위치 잠금","Vergrendel positie van hoofdmenuknop","Zablokuj pozycję przycisku menu głównego","Travar a posição do botão de menu principal","Закрепить позицию кнопки Главного меню","鎖定主選單按鈕的位置","锁定主菜单按钮位置","Lock main menu button position","Ana menü tuşunun yerini sabitle","Зафіксувати позицію кнопки головного меню","Uzamknout pozici tlačítka menu","Zamknúť pozíciu tlačítka menu","ล็อคตําแหน่งปุ่มเมนูหลัก","Blochează poziția butonului de meniu principal","","ﺔﻴﺴﻴﺋﺮﻟﺍ ﺔﻤﺋﺎﻘﻟﺍ ﺭﺯ ﻊﺿﻮﻣ ﻞﻔﻗ","Kuncikan posisi tombol menu utama","Khóa vị trí nút bảng chính","Lukitse valikkonapin sijainti"
