"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Editing default limits per road type","Bearbeite Standardlimits pro Straßentyp","Editing default limits per road type","Editar los límites por defecto por tipo de carretera","Modifier les limites par défaut par type de route","","Modificando i limiti predefiniti per tipo di strada","道路タイプごとのデフォルトの制限を編集する","도로 유형에 따른 기본 제한 속도 편집 중","Bijwerken standaard maxima per wegsoort","Edycja domyślnych ograniczeń prędkości dla wybranego rodzaju drogi","Editar os limites padrões por tipo de rodovia","Редактирование ограничений для всех дорог одного вида","設定各道路類型的預設速限","按道路类别设设置默认限速","Editing default limits per road type","Hız sınırları aracında segment görünümü modu için gösterilir","Редагування обмежень для типу дороги","Editace výchozích hodnot ryhlosti pro daný druh vozovky","Úprava predvolených limitov podľa typu cesty","แก้ไขขีดจำกัดความเร็วพื้นฐานตามประเภทถนน","","","ﻖﻳﺮﻄﻟﺍ ﻉﻮﻧ ﺐﺴﺣ ﺔﻴﺿﺍﺮﺘﻓﻻﺍ ﺩﻭﺪﺤﻟﺍ ﻞﻳﺪﻌﺗ","Mengubah batas standar beredasarkan jenis jalan","Sửa giới hạn mặc định mỗi loại đường",""
"Editing lane speed limit overrides","Geschwindigkeitsbegrenzung für Fahrspuren bearbeiten","Editing lane speed limit overrides","Editar el límite de velocidad por carriles","Modification de la limite de vitesse des voies","","Modificando le sovrascrizioni del limite di velocità della corsia","車線速度制限のオーバーライドを編集する","차선 내 재구성한 제한 속도 편집 중","Bijwerken overschrijvingen van maximum snelheid per rijbaan","Edycja ograniczeń prędkości dla pasa","Edição limites de velocidade de faixas sobscreve","Редактирование ограничений для полос движения","設定車道速限","覆盖车道限速","Editing lane speed limit overrides","Hız sınırları aracında şerit görüntüleme modu için gösterilir","Редагування обмежень для смуги руху","Úprava rychlostního limitu bude přepsána","Úprava rýchlostného obmedzenia jazdného pruhu","แก้ไขการแทนที่ขีดจำกัดความเร็วของช่องจราจร","","","ﺕﺍﺭﺎﺤﻠﻟ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ ﺕﺍﺯﻭﺎﺠﺗ ﺮﻳﺮﺤﺗ","Mengubah batas kecepatan lajur","Sửa đè giới hạn tốc độ làn xe",""
"Tooltip:Default speed limits per road type","Standard Geschwindigkeitsbegrenzungen pro Straßentyp","Default speed limits per road type","Límites de velocidad predeterminados por tipo de carretera","Limites de vitesse par défaut par type de route","","Limiti di velocità predefiniti per tipo di strada","道路タイプごとのデフォルト制限速度","도로 유형에 따른 기본 제한 속도","Standaard maximum snelheid per wegsoort","Domyślne ograniczenia prędkości dla typu drogi","Limites de velocidade padrão por tipo de rodovias","Ограничения скорости по умолчанию для дорог этого типа","各道路類型的預設速限","每类道路的默认限速","Default speed limits per road type","Her yol türü için varsayılan hız limitleri","Обмеження для доріг одного типу","Výchozí hodnoty limitu rychlosti pro daný typ silnice","Predvolený limit podľa typu cesty","ขีดจำกัดความเร็วพื้นฐานตามประเภทถนน","","","ﻖﻳﺮﻄﻟﺍ ﻉﻮﻧ ﺐﺴﺣ ﺔﻴﺿﺍﺮﺘﻓﻻﺍ ﺩﻭﺪﺤﻟﺍ ﻞﻳﺪﻌﺗ","Batas standar berdasarkan jenis jalan","Giới hạn tốc độ mặc định mỗi loại đường",""
"Tooltip:Edit segment speed limits","Bearbeiten der Geschwindigkeitsbegrenzung je Segment","Edit segment speed limits","Editar límites de velocidad del segmento","Modifier les limites de vitesse du segment","","Modifica limiti di velocità del segmento","セグメントの制限速度を編集","구간 내 속도 제한 편집","Bewerk maximum snelheid per segment","Edytuj ograniczenia prędkości dla segmentu","Editar limites de velocidade do seguimento","Редактирование ограничения для участка дороги","設定路段速限","编辑区段限速","Edit segment speed limits","Hız limiti katmanlarını düzenle","Обмеження швидкості для ділянок шляху","Upravit limit rychlosti pro daný segment","Upraviť rýchlostný limit úseku cesty","แก้ไขขีดจำกัดความเร็วของ segments","","","ﻊﻃﺎﻘﺘﻟﺍ ﺔﻋﺮﺳ ﺩﻭﺪﺣ ﺮﻳﺮﺤﺗ","Mengubah batas kecepatan bagian jalan","Sửa giới hạn tốc độ đoạn đường",""
"Tooltip:Edit lane speed limits","Bearbeiten der Geschwindigkeitsbegrenzung je Fahrspur","Edit lane speed limits","Editar límites de velocidad del carril","Modifier la limite de vitesse de la voie","","Modifica limiti di velocità della corsia","レーンの制限速度を編集","차선 내 속도 제한 편집","Bewerk maximum snelheid per rijbaan","Edytuj ograniczenia prędkości pasa","Editar limites de velocidade da faixa","Редактирование ограничения по полосам движения","設定車道速限","编辑车道限速","Edit lane speed limits","Şerit hız limitlerini düzenle","Обмеження швидкості для смуг руху","Upravit limit rychlosti pro daný jízdní pruh","Upraviť rýchlostný limit pre jazdný pruh","แก้ไขขีดจำกัดความเร็วของช่องจราจร","","","ﻩﺭﺎﺤﻟﺍ ﺔﻋﺮﺳ ﺩﻭﺪﺣ ﺮﻳﺮﺤﺗ","Mengubah batas kecepatan lajur","Sửa giới hạn tốc độ làn xe",""
"Window.Title:Speed Limits","Geschwindigkeitsbegrenzung","Speed Limits","Límites de velocidad","Limites de vitesse","","Limiti di Velocità","制限速度","속도 제한","Maximum Snelheid","Ograniczenia prędkości","Limites de Velocidade","Ограничения скорости","道路速度限制","行车速度限制","Speed Limits","Hız Limitleri","Обмеження швидкості","Limit rychlosti","Rýchlostné obmedzenia","จำกัดความเร็ว","","","ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ","Batas Kecepatan","Giới hạn tốc độ",""
"SpeedLimits.OSD:Select","Auswählen","Click road signs to set speed limit override","Haga clic en las señales de tráfico para modificar el límite de velocidad","Cliquez sur un panneau de vitesse pour assigner","","Seleziona","選択","도로의 표지판을 클릭하여 속도 제한 재구성","Selecteer","Kliknij na znak ograniczenia aby zmodyfikować limit","Selecionar","Нажимайте на знаки, чтобы установить ограничения","點按號誌以設定速限","选择","Click road signs to set speed limit override","Ana menünün altındaki Ekrandaki Görüntü yardımının başlığı","Виберіть швидкість з палітри та задайте її для дороги","Zvolit","Vybrať","คลิกที่ป้ายถนนเพื่อตั้งขีดจำกัดความเร็ว","","","ﺩﺪﺣ","Klik pada rambu untuk menyetel batas kecepatan","Nhấp vào biển báo để ghi đè giới hạn tốc độ",""
"UI.Key:Shift edit multiple","Gedrückt halten um mehrere Segmente zu ändern","Edit multiple segments between junctions","Editar varios segmentos entre dos cruces","Modifier tout le tronçon entre les jonctions","","Modifica multiplo","キーで複数を編集","[[Shift]]를 누른 채로 여러 항목 수정","Ingedrukt houden om meerdere segmenten tussen kruisingen te bewerken","Przytrzymaj, aby zmodyfikować wszystkie pomiędzy skrzyżowaniami","Editar múltiplos","Изменить несколько участков дороги в ряд","一併設定整個路口的路段","批量编辑","Edit multiple segments between junctions","Shift tuşunu basılı tutmak için ekran yardımı","Змінити кілька ділянок підряд між перехрестями","Podržím klávesy Shift můžete editovat více segmentů naráz","","แก้ไขหลาย segment ระหว่างทางแยก","Editare multiplă","","ﺩﺪﻌﺘﻣ ﺮﻳﺮﺤﺗ","Mengubah beberapa bagian jalan di antara persimpangan","Sửa nhiều đoạn đường giữa giao các lộ",""
"UI.Key:Alt show overrides","Gedrückt halten um die Geschwindigkeitsbegrenzungen anzuzeigen","Hold to show overrides temporarily","Mantenga presionado para mostrar temporalmente lo modificado","Maintenir Alt pour afficher les vitesses modifiées","","Mostra sovrascrizioni","キーでオーバーライドを表示","[[Alt]]를 누른 채로 있으면 재구성한 항목 표시","Ingedrukt houden om overschrijvingen te tonen","Przytrzymaj, aby pokazać zmodyfikowane ograniczenia","Alt mostrar sobrescrições","Временно показать ограничения скорости","顯示特別速限","显示超速","Hold to show overrides temporarily","Hız sınırı varsayılanları gösterilirken Alt tuşunu basılı tutmak için ekran yardımı","Тимчасово показати задані гравцем обмеження швидкості","Podržením klávesy Alt zobrazíte změněné limity rychlosti","","กดค้างเพื่อแสดงการแทนที่ชั่วคราว","","","ﺕﺍﺯﻭﺎﺠﺘﻟﺍ ﺽﺮﻋ","Tekan dan tahan untuk menampilkan batas kecepatan sebentar","Giữ để hiển thị đè tạm thời",""
"UI.Key:Alt show defaults","Gedrückt halten um die voreingestellten Geschwindigkeitsbegrenzungen anzuzeigen","Hold to show defaults for this road type","Mantén pulsado para mostrar los valores por defecto para este tipo de carretera","Maintenir Alt pour afficher les vitesses par défaut","","Mostra predefiniti","キーでデフォルトを表示","[[Alt]]를 누른 채로 있으면 기본값이 적용된 항목 표시","Ingedrukt houden om standaardwaarden te tonen","Przytrzymaj, aby pokazać domyślne limity","Alt mostrar padrões","Временно показать скорость для всех дорог этого типа","顯示道路類型的預設速限","显示默认速度","Hold to show defaults for this road type","Hız sınırı geçersiz kılmaları gösterilirken Alt tuşunu basılı tutmak için ekran yardımı","Тимчасово показати швидкість для доріг цього типу","Podržením klávesy Alt zobrazíte výchozí limity rychlosti","","กดค้างเพื่อแสดงค่าพื้นฐานของถนนประเภทนี้","","","ﺕﺎﺿﺍﺮﺘﻓﻻﺍ ﺭﺎﻬﻇﺇ","Tekan dan tahan untuk menampilkan standar untuk jenis jalan ini","Giữ để hiện mặc định cho loại đường này",""
"Palette.Text:Default","Auf Standard zurücksetzen","Reset to default","Predeterminado","Rétablir les valeurs par défaut","","Predefinito","デフォルト","기본값으로 초기화","Terugzetten naar standaardwaarden","Przywróć domyślną","Padrão","Сбросить","還原預設值","默认","Reset to default","Varsayılan (X) düğmesinin altındaki ipucu, ayrıca varsayılan seçildiğinde fare araç ipucu","Скинути","Výchozí","Predvolená","ค่าเริ่มต้น","","","ﻲﺿﺍﺮﺘﻓﻻﺍ","Kembalikan ke standar","Quay về mặc định",""
"Palette.Text:Unlimited","Ohne Begrenzung","Unlimited","Sin límite","Illimité","","Illimitato","無制限","무제한","Onbeperkt","Nieograniczona","Ilimitado","Без ограничения","無限制","无限制","Unlimited","MAX seçildiğinde hız paleti hakkında ipucu","Без обмеження","Neomezeně","Neobmedzená","ไม่จำกัด","Nelimitat","","ﺩﻭﺪﺤﻣ ﺮﻴﻏ","Tidak terbatas","Không giới hạn",""
"UI.Key:PageUp/PageDown switch underground","[[Bild hoch]] / [[Bild runter]] um die unterirdische Ansicht umzuschalten","[[Page Up]] | [[Page Down]] To switch underground view","[[Page Up]] | [[Page Down]] Para cambiar a vista subterránea","[[Page Up]] | [[Page Down]] pour basculer vers la vue sous-terraine","","[[PageUp]] | [[PageDown]] interruttore sotterraneo","[[PageUp]] / [[PageDown]]で地下表示の切り替え","[[Page Up]] / [[Page Down]] 키를 눌러 지하 보기로 전환","[[Page Up]] | [[Page Down]] Schakel van/ naar ondergrondse weergave","[[Page Up]] / [[Page Down]] Aby przełączyć do widoku podziemnego","PageUp/PageDown trocar underground","[[Page Up]] | [[Page Down]] переключить вид дорог под землёй","[[PageUp]]/[[PageDown]] 切換地上/地下","[[PageUp]]/[[PageDown]] 切换地面/切换地下","[[Page Up]] | [[Page Down]] To switch underground view","Oyuncuya beyaz mod için PgUp/PgDown kullanmasını söyleyen klavye ipucu","[[Page Up]] / [[Page Down]] Показати підземні шляхи","Stisknutím klávesy PgUp/PgDown zobrazíte podzemní zobrazení","[[PageUp]] / [[PageDown]] prepínanie podzemia","[[Page Up]] | [[Page Down]] เพื่อสลับมุมมองใต้ดิน","","","ﺽﺭﻷﺍ ﺖﺤﺗ PageDown ﺡﺎﺘﻔﻣ","[[Page Up]] | [[Page Down]] untuk mengubah ke mode bawah tanah","[[Page Up]] | [[Page Down]] để chuyển đổi chế độ xem tầng đất",""
"General.Dropdown:Road signs theme","Thema für Beschilderung","Road signs theme for speed limits","Estilo de señales de tráfico para límites de velocidad","Thème pour la Signalisation","","Tema segnali stradali","道路標識のテーマ","속도 제한 표지용 도로 표지판 테마","Stijl van de verkeersborden voor snelheid","Motyw znaków drogowych dla ograniczeń prędkości","Road temas de sinais","Выбранная тема дорожных знаков","速限路標風格","路标风格","Road signs theme for speed limits","Bir tema seçmek için Seçenekler Genel sekmesindeki açılır listenin başlığı","Обрана тема для дорожніх знаків","Vzhled značek","Štýl dopravných značiek","ชุดรูปแบบของป้ายจราจรจำกัดความเร็ว","","","ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Tampilan rambu jalan untuk batas kecepatan","Kiểu biển báo giới hạn tốc độ",""
"RoadSignTheme:Kmph_Germany","Deutschland [km/h und MPH]","Germany [km/h]","Alemania [km/h]","Allemagne [km/h et MPH]","","Germania [km/h e MPH]","ドイツの道路標識","독일식 (km/h & mph)","Duitsland [km/h en MPH]","Niemcy (km/h i mph)","Alemanha [km/h]","Германия (км/ч)","德式 (公里/小時 + 英哩/小時)","德国-km/h&mph","Germany [km/h]","Almanya [km/h]","Германія (км/год)","Německo [km/h]","km/h (Nemecko)","เยอรมัน [กม./ชม.]","","","ﻞﻴﻤﻟﺍ ﻭﺍ ﻮﻠﻴﻜﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ","Jerman [km/j]","Đức [km/h]",""
"RoadSignTheme:MPH_UK","Vereinigtes Königreich (MPH)","United Kingdom [MPH]","Reino Unido [MPH]","Royaume Uni [MPH]","","UK [MPH]","イギリスの道路標識","영국식 (mph만)","Verenigd Koninkrijk [MPH]","Zjednoczone Królestwo (tylko mph)","Milhas por Hora (MPH) - UK","Великобритания (мили/ч)","英式 (英哩/小時)","英国-MPH","United Kingdom [MPH]","Birleşik Krallık [MPH]","Велика Британія (милі/год)","Anglie [mil/h]","mph (Spojené kráľovstvo)","สหราชอาณาจักร [ไมล์/ชม.]","","","ﻂﻘﻓ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ UK","Britania Raya [MPJ]","Vương quốc Anh [m/h]",""
"RoadSignTheme:MPH_US","Amerikanisch (MPH)","United States [MPH]","EE. UU. [MPH]","États Unis [MPH]","","US [MPH]","アメリカの道路標識","미국식 (mph만)","Verenigde Staten [MPH]","Stany Zjednoczone (tylko mph)","Milhas por Hora (MPH) - US","США (мили/ч)","美式 (英哩/小時)","美国-MPH","United States [MPH]","ABD [MPH]","Сполучені Штати (милі/год)","Amerika [mil/h]","mph (Spojené štáty)","สหรัฐอเมริกา [ไมล์/ชม.]","MPH_US","","ﻂﻘﻓ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ US","Amerika Serikat [MPJ]","Hoa Kỳ [m/h]",""
"RoadSignTheme:Kmph_Canada","Kanadisch [nur km/h]","Canada [km/h]","Canadá [km/h]","Canada [km/h]","","Canada [km/h]","カナダの道路標識","캐나다식 (km/h만)","Canada [km/h]","Kanada (tylko km/h)","Quilometros por Hora (Canada)","Канада (км/ч)","加拿大 (公里/小時)","加拿大-km/h","Canada [km/h]","Kanada [km/h]","Канада (км/год)","Kanada [km/h]","km/h (Kanada)","แคนาดา [กม./ชม.]","","","ﻂﻘﻓ ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺘﻓﻻ CN","Kanada [km/j]","Canada [km/h]",""
