"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Button:Cancel","Abbrechen","Cancel","Cancelar","Annuler","Mégse","Annulla","キャンセル","취소","Afbreken","Anuluj","Cancelar","Отмена","取消","取消","Cancel","İptal","Відміна","Zrušit","Zrušiť","ยกเลิก","Anulare","Annular","ﺀﺎﻐﻟﺇ","Batalkan","Đóng",""
"Format:State {0}: (min/max) {1}..{2}","Schritt {0}: (min/max) {1}..{2}","State {0}: (min/max) {1}..{2}","Estado {0}: (min/max) {1}..{2}","État {0}: (min/max) {1}..{2}","Állapot {0}: (min/max) {1}..{2}","Stato {0}: (min/max) {1}..{2}","状態 {0}: (最短/最長) {1}..{2}","상태 {0}: (최소/최대) {1}..{2}","Stap {0}: (min/max) {1}..{2}","Stan {0}: (min/max) {1}..{2}","Estado {0}: (min/max) {1}..{2}","Состояние {0}: от {1} до {2}","狀態 {0}: (最短/最長) {1}..{2}","状态 {0}: (最短/最长) {1}..{2}","State {0}: (min/max) {1}..{2}","Durum {0}: (asg/azm) {1}..{2}","Крок {0}: (мін./макс) {1}..{2}","Stav {0}: {1}..{2}","Stav {0}: (min/max) {1}..{2}","สถานะ {0}: (ต่ำสุด / สูงสุด) {1}..{2}","Stare {0}: (min/max) {1}..{2}","","ﺔﻟﺎﺤﻟﺍ {0}: (ﻰﺼﻗﻷﺍ/ﻰﻧﺩﻷﺍ) {1}..{2}","Status {0} (min/maks) {1}..{2}","Trạng thái {0}: (min/max) {1}..{2}",""
"Format:State {0}: {1}..{2}","Schritt {0}: {1}..{2}","State {0}: {1}..{2}","Estado {0}: {1}..{2}","État {0}: {1}..{2}","Állapot {0}: {1}..{2}","Stato {0}: {1}..{2}","状態 {0}: {1}..{2}","상태 {0}: {1}..{2}","Stap {0}: {1}..{2}","Stan {0}: {1}..{2}","Estado {0}: {1}..{2}","Состояние {0}: {1}..{2}","狀態 {0}: {1}..{2}","状态 {0}: {1}..{2}","State {0}: {1}..{2}","Durum {0}: {1}..{2}","Крок {0}: {1}..{2}","Stav {0}: {1}..{2}","Stav {0}: {1}..{2}","สถานะ {0}: {1}..{2}","Stare {0}: {1}..{2}","","ﺔﻟﺎﺤﻟﺍ {0}: {1}..{2}","Status {0): {1}..{2}","Trạng thái {0}: {1}..{2}",""
"Format:Avg. flow: {0:0.##} avg. wait: {1:0.##}","Fahrend: {0:0.##} wartend: {1:0.##}","Avg. flow: {0:0.##} avg. wait: {1:0.##}","Promedio transito: {0:0.##} espera: {1:0.##}","Flux moy.: {0:0.##} attente moy.: {1:0.##}","Átl. haladás: {0:0.##} átl. várakozás: {1:0.##}","Flusso medio: {0:0.##} attesa media: {1:0.##}","平均流量: {0:0.##} 平均待ち: {1:0.##}3","평균 흐름: {0:0.##} 평균 대기: {1:0.##}","Rijdend: {0:0.##} wachtend: {1:0.##}","śr. przepływ: {0:0.##} śr. oczekiwanie: {1:0.##}","Fluxo médio: {0:0.##} espera média: {1:0.##}","Сред. поток: {0:0.##} сред. ожидание: {1:0.##}","平均通過: {0:0.##} 平均停等: {1:0.##}","平均车流量: {0:0.##} 平均等待: {1:0.##}","Avg. flow: {0:0.##} avg. wait: {1:0.##}","Ort. akış: {0:0.##} ort. bekleme: {1:0.##}","Середній потік {0:0.##} очікування: {1:0.##}","Průměrný provoz: {0:0.##}. Čekejte: {1:0.##}","Priemerná premávka: {0:0.##}. Priemerné čakanie: {1:0.##}","การไหล: {0:0.##} เฉลี่ย รอ: {1:0.##}","Flux mediu: {0:0.##} medie. așteptare: {1:0.##}","","{1:0.##} :ﺭﺎﻈﺘﻧﻻﺍ {0:0.##} :ﺓﺩﺎﻴﻘﻟﺍ","Aliran rata-rata: {0:0.##) rata-rata menunggu: {1:0.##}","Số xe đi. flow: {0:0.##} số xe chờ: {1:0.##}",""
"TTL.Button:Skip","Weiter","Skip","Saltar","Passer","Kihagyás","Salta","次へ","스킵","Verder","Pomiń","Pular","Пропустить","跳過","跳过","Skip","Atla","Пропустити","Přeskočit","Preskočiť","ข้าม","Omitere","Sautar","ﻰﻄﺨﺗ","Lewatkan","Bỏ qua",""
"TTL.Button:up","hoch","up","arriba","haut","fel","Su","上へ","위로","omhoog","w górę","cima","выше","上移","上移","up","Yukarı","Вище","Nahoru","hore","ขึ้น","Sus","naut","ﻕﻮﻓ","Ke atas","lên",""
"TTL.Button:down","runter","down","abajo","bas","le","Giù","下へ","아래로","omlaag","w dół","baixo","ниже","下移","下移","down","Aşağı","Нижче","Dolů","dole","ลง","Jos","bas","ﺖﺤﺗ","Ke bawah","xuống",""
"Button:Edit","Bearbeiten","Edit","Editar","Modifier","Szerkesztés","Modifica","編集","수정","Wijzigen","Edytuj","Editar","Править","編輯","编辑","Edit","Düzenle","Редагувати","Upravit","Upraviť","แก้ไข","Editare","Modificar","ﻞﻳﺪﻌﺗ","Edit","Sửa đổi",""
"Button:Delete","Löschen","Delete","Borrar","Suppr.","Töröl","Elimina","削除","삭제","Verwijderen","Skasuj","Apagar","Удалить","刪除","删除","Delete","Kaldır","Видалити","Smazat","Odstrániť","ลบ","Ștergere","Suprimir","ﻑﺬﺣ","Hapuskan","Xóa",""
"Button:View","Anzeigen","View","Ver","Voir","Nézet","Vedi","表示","보기","Weergeven","Wyświetl","Ver","Смотреть","檢視","视图","View","Görüntüle","Перегляд","Zobrazit","Zobraziť","ดู","Vezi","Veire","ﺽﺮﻋ","Lihatkan","Xem",""
"TTL.Label:Min. time:","Min. Zeit:","Min. Time:","Tiempo min:","Temps Min :","Min. Idő:","Tempo min.:","最短時間:","최소 시간 :","Min. tijd:","Min. Czas:","Tempo Min.:","Мин. время:","最短時間","最短时间:","Min. Time:","Asg. zaman:","Мін. час:","Min. čas:","Minimálny čas:","นาที. เวลา:","Timp minim:","Temps Min:",":ﻰﻧﺩﻷﺍ ﺖﻗﻮﻟﺍ","Waktu Min.:","Tối thiểu:",""
"TTL.Label:Max. time:","Max. Zeit:","Max. Time:","Tiempo máx:","Temps Max :","Max. Idő:","Tempo max.:","最長時間:","최대 시간 :","Max. tijd:","Max. Czas:","Tempo Max.:","Макс. время:","最長時間","最长时间:","Max. Time:","Azami zaman:","Макс. час:","Max. čas:","Maximálny čas:","สูงสุด เวลา:","Timp maxim:","Temps Max:",":ﻰﺼﻗﻷﺍ ﺖﻗﻮﻟﺍ","Waktu Maks.:","Tối đa:",""
"Button:Save","Speichern","Save","Guardar","Sauvegarder","Mentés","Salva","保存","저장","Opslaan","Zapisz","Salvar","Сохранить","儲存","保存","Save","Kaydet","Зберегти","Uložit","Uložiť","บันทึก","Salvare","Salvagardar","ﻆﻔﺣ","Simpan","Lưu",""
"Button:Add","Hinzufügen","Add","Agregar","Ajouter","Hozzáad","Aggiungi","追加","추가","Toevoegen","Dodaj","Adicionar","Добавить","增加","添加","Add","Ekle","Додати","Přidat","Pridať","เพิ่ม","Adăugare","Ajustar","ﻒﺿﺍ","Tambah","Thêm",""
"TTL.Button:Add step","Schritt hinzufügen","Add step","Añadir fase","Ajouter un état","Lépés hozzáadása","Aggiungi fase","状態の追加","단계 추가","Stap toevoegen","Dodaj krok","Adicionar Passo","Добавить шаг","增加時相","添加定时","Add step","Aşama ekle","Новий крок","Přidat krok","Pridať krok","เพิ่มขั้นตอน","Adaugă pas","Ajustar una etapa","ﺓﻮﻄﺧ ﻒﺿﺃ","Tambah langkah","Thêm hẹn giờ",""
"TTL.Button:Hide counters","Zähler verstecken","Hide counters","Ocultar contadores","Masquer les compteurs","A számlálók elrejtése","Nascondi conto alla rovescia","カウンターの非表示","카운터 숨기기","Tellers verbergen","Ukryj liczniki","Ocultar contadores","Скрыть счётчики","隱藏讀秒","隐藏计数器","Hide counters","Sayacı gizle","Сховати лічильники","Skrýt čítače","Skryť počítadlá","ซ่อนตัวนับ","Ascundere contoare","","ﺕﺍﺩﺍﺪﻌﻟﺍ ﺀﺎﻔﺧﺇ","Hilangkan angka waktu","Ẩn bộ đếm giờ",""
"TTL.Button:Show counters","Zähler anzeigen","Show counters","Mostrar contadores","Afficher les compteurs","Mutasd a számlálókat","Mostra conto alla rovescia","カウンターの表示","카운터 보이기","Tellers tonen","Pokaż liczniki","Mostrar contadores","Показать счётчики","顯示讀秒","显示计数器","Show counters","Sayacı göster","Показати лічильники","Zobrazit čítače","Zobraziť počítadlá","แสดงตัวนับ","Arată contoarele","","ﺕﺍﺩﺍﺪﻌﻟﺍ ﺭﺎﻬﻇﺇ","Tampilkan angka waktu","Hiện bộ đếm giờ",""
"TTL.Button:Stop","Stopp","Stop","Detener","Arrêt","Állj","Stop","停止","중지","Stop","Zatrzymaj","Parar","Остановить","停止","停止","Stop","Durdur","Стоп","Zastavit","Zastaviť","หยุด","Stop","","ﻒﻗﻮﺗ","Hentikan","Dừng",""
"TTL.Checkbox:Pause in this step","Testmodus aktivieren (im aktuellen Schritt bleiben)","Pause in this step","Activar modo de prueba (mantiene la fase actual)","Activer le mode test (rester dans l'état actuel)","Tesztmód engedélyezése (maradjon az aktuális lépésben)","Metti in pausa in questa fase","テストモード有効 (現在の状態に留まる)","테스트 모드 활성화 (현 상태를 유지한 채 진행)","Testmodus activeren (huidige stap vasthouden)","Aktywuj tryb testu (pozostań w tym kroku)","Ativar modo de teste (Mantém no passo atual)","Тестовый режим (остаться в текущем шаге)","允許測試模式（停留在當前時相）","测试模式 (保持当前步骤)","Enable test mode (remain in the current step)","Bu aşamada dur","Пауза на цьому кроці","Pozastavit v dalším kroku","Pozastaviť v tomto kroku","หยุดชั่วคราวในขั้นตอนนี้","Pauză în acest pas","","ﺓﻮﻄﺨﻟﺍ ﻩﺬﻫ ﻲﻓ ﻒﻗﻮﺗ","Jedakan pada langkah ini","Tạm dừng ở giai đoạn đèn này",""
"TTL.Button:Start","Anfang","Start","Iniciar","Démarrer","Indítás","Avvia","開始","시작","Start","Uruchom","Iniciar","Начать","啟用","启动","Start","Başlat","Старт","Start","Štart","เริ่ม","Start","Desmarrar","ﺍﺪﺑﺍ","Mulai","Bắt đầu",""
"TTL.Button:Rotate left","Links rotieren","Rotate left","Girar a la izq.","Rotation vers la gauche","Forgasd balra","Ruota a sinistra","左に回転","왼쪽으로 회전","Linksom draaien","Obróć w lewo","Girar para a esquerda","Повернуть налево","向左轉動","向左旋转","Rotate left","Sola çevir","Повернути вліво","Otočit vlevo","Otočiť doľava","หมุนซ้าย","Rotire la stânga","","ﺍﺭﺎﺴﻳ ﺭﺪﺘﺳﺍ","Putar ke kiri","Xoay trái",""
"TTL.Button:Rotate right","Rechts rotieren","Rotate right","Girar a la der.","Rotation vers la droite","Forgasd jobbra","Ruota a destra","右に回転","오른쪽으로 회전","Rechtsom draaien","Obróć w prawo","Girar para a direita","Повернуть направо","向右轉動","向右旋转","Rotate right","Sağa çevir","Повернути вправо","Otočit vpravo","Otočiť doprava","หมุนขวา","Rotire la dreapta","","ﺎﻨﻴﻤﻳ ﺭﺪﺘﺳﺍ","Putar ke kanan","Xoay phải",""
"TTL.Button:Copy","Kopieren","Copy","Copiar","Copier","Másolás","Copia","コピー","복사","Kopiëren","Kopiuj","Copiar","Копировать","複製","复制","Copy","Kopyala","Копіювати","Kopírovat","Kopírovať","คัดลอก","Copiere","Copiar","ﺦﺴﻧ","Salin","Sao chép",""
"TTL.Button:Add junction to TTL","Kreuzung zur Ampel hinzufügen","Add a junction to this traffic light","Agregar cruce a este conjunto temporizador","Ajouter une intersection à ce feu tricolore","Adjunk egy kereszteződést ehhez a lámpához","Aggiungi un incrocio a questo semaforo","この信号に交差点を追加","이 신호에 교차로 추가","Kruising aan stoplicht toevoegen","Dodaj skrzyżowanie do tego węzła sygnalizacji","Adicionar cruzamento ao semáforo","Добавить перекрёсток в список","將此交岔路口加入號誌燈時相連鎖","向定时红绿灯添加一路口","Add a junction to this traffic light","Seçili kavşağı bu trafik ışığına ekle","Додати перехрестя","Přidat křižovatku do časovaných semaforů","","เพิ่มทางแยกไปยัง TTL","Adăugare intersecție la TTL","","ﻩﺬﻫ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻰﻟﺇ ﻕﺮﻃ ﻊﻃﺎﻘﺗ ﻒﺿﺃ","Tambah persimpangan pada lampu lalu lintas berwaktu ini","Thêm giao lộ vào bộ hẹn giờ",""
"TTL.Button:Remove junction from TTL","Kreuzung von der Ampel entfernen","Remove a junction from this traffic light","Remover cruce de este conjunto temporizador","Retirer une intersection de ce feu tricolore","Távolítson el egy kereszteződést ebből a lámpából","Rimuovi un incrocio da questo semaforo","この信号から交差点を削除","이 신호에서 교차로 제거","Kruising van stoplicht verwijderen","Wyklucz skrzyżowanie z tego węzła sygnalizacji","Remover cruzamento do semáforo","Убрать перекрёсток из списка","將此交岔路口移出號誌燈時相連鎖","从定时红绿灯移除一路口","Remove a junction from this traffic light","Seçili kavşağı bu trafik ışığından kaldır","Видалити перехрестя","Odstranit křižovatku z časovaných semaforů","","ลบทางแยกออกจาก TTL","Elimină intersecție de la TTL","","ﻩﺬﻫ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻦﻣ ﻊﻃﺎﻘﺗ ﺔﻟﺍﺯﺇ","Hapuskan persimpangan dari lampu lalu lintas berwaktu ini","Xóa giao lộ khỏi đèn giao thông này",""
"TTL.Button:Remove entire TTL","Ampel entfernen","Remove timed traffic light","Borrar semáforo programado","Retirer le chronométrage","Távolítsa el az időzített lámpát","Rimuovi semaforo temporizzato","時間設定付き信号の削除","설정된 신호등 시간표 제거","Stoplichten verwijderen","Usuń sygnalizację czasową","Remover semáforo cronometrado","Выключить настраиваемый светофор","移除號誌燈時相設定","删除红绿灯定时设置","Remove timed traffic light","Süreli trafik ışığını kaldır","Видалити всі світлофори групи","Odstranit skript řízení semaforů","","ลบ TTL ทั้งหมด","Elimină întreg TTL","","ﺔﺗﻮﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺔﻟﺍﺯﺇ","Hapuskan lampu lalu lintas berwaktu","Xóa hẹn giờ đèn giao thông",""
