"Original","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-GB"
"Dynamic_lane_section","Dynamische Fahrspurwahl","Dynamic lane selection","Dynamic lane selection","Sélection de voie dynamique","Dinamikus sávválasztás","Selezione corsia dinamica","動的レーン選択","유동적 차량 차선변경 빈도","Dynamic lane selection","Obszar dynamicznej zmiany pasa ruchu","Dynamic lane selection","Выбор динамической полосы","Dynamic lane selection","智能车道选择","Dynamic lane selection"
"Enable_dynamic_path_calculation","Aktiviere die dynamische Pfadberechnung","Enable dynamic path calculation","Activar el cálculo dinámico de las rutas","Activer le calcul dynamique des chemins","A dinamikus út számításának engedélyezése","Abilita calcolo del percorso dinamico","動的なパス計算を有効にする","동적인 경로 계산 활성화","Activeer dynamische routeberekening","Aktywuj dynamiczne wyznaczanie ścieżki","Ativar o cálculo de caminho dinâmico","Включить динамическое вычисление пути","啟用動態的路線運算","启用动态路径计算","Enable dynamic path calculation"
"Evacuation_busses_may_only_be_used_to_reach_a_shelter","Evakuierungsbusse dienen nur zum Erreichen einer Notunterkunft","Evacuation buses may only be used to reach a shelter","Los buses de evacuación sólo pueden usarse para llegar a un refugio","Les bus d'évacuation ne peuvent être utilisés que pour atteindre un abri","Az evakuáló buszok csak menhelyhez juthatnak","I bus di evacuazione possono essere usati solo per raggiungere un rifugio","避難バスは避難所へのアクセスにのみ使用できます","대피 버스는 대피소 도착을 위한 용도로만 사용할 수 있습니다","Evacuatiebussen mogen enkel gebruikt worden om schuilkelders te bereiken","Autobusy ewakuacyjne mogą przewozić tylko do schroniena","Os ônibus de evacuação só podem ser usados para alcançar um abrigo","Эвакуационные автобусы, только чтобы добраться до аварийного убежища","緊急疏散公車僅可用於到達避難所","应急疏散巴士仅可用于到达避难所","Evacuation buses may only be used to reach a shelter"
"Experimental_features","Experimentelle Features","Experimental features","Experimental features","Fonctionnalités expérimentales","Kísérleti funkciók","Experimental features","実験的な機能","실험 기능","Experimental features","Funkcje eksperymentalne","Experimental features","Экспериментальные функции","Experimental features","实验特性","Experimental features"
"Forget_toggled_traffic_lights","Gesetzte/Entfernte Ampeln vergessen","Forget toggled traffic lights","Borrar semáforos (no afecta semáforos programados)","Oublier les feux tricolores retirés","Felejtsd el a kapcsolt lámpákat","""Dimentica"" semafori impostati","付け外しした信号を元に戻す","선택된 신호등 잊기","Stoplichtaanpassingen vergeten","Unuń ustawione sygnalizacje czasowe","Esquecer os semáforos alternados","Забыть расположение светофоров","放棄設定的交通燈號","重置所有红绿灯设置","Forget toggled traffic lights"
"Imperial","Imperial","Imperial","Imperial","Système impérial","Császári","Imperiale","ヤード・ポンド法","마일법","Emperisch","Imperialne","Imperial","Международная","英制","英制","Imperial"
"incoming","eingehend","incoming","viniendo","bientôt","beérkező","In arrivo","台流入","들어오는","inkomend","nadjeżdżające","entrando","входящее","進入","进入","incoming"
"Max_speed","Max. Geschwindigkeit","Max speed","Velocidad Máxima","Vitesse max.","teljes sebesség","Velocità massima","最大速度","최고 속도","Max. snelheid","Max Prędkość","Velocidade Máxima","Макс. скорость","最高速限","最高限速","Max speed"
"Metric","Metrisch","Metric","Métrico","Système métrique","Metric","Metrico","メートル法","미터법","Metrisch","Metryczne","Metrico","Метрическая","公制","公制","Metric"
"Name","Name","Name","Nombre","Nommer","Név","Nome","名前","이름","Naam","Nazwa","Nome","Название","名稱","名称","Name"
"NODE_IS_LIGHT","Die Kreuzung hat eine Ampel.\nLösche zunächst die Ampel, indem du auf ""Ampeln setzen"" und dann auf die Kreuzung klickst.","Junction has a traffic light.\nDelete the traffic light by choosing ""Switch traffic lights"" and clicking on this node.","El cruce tiene semáforos.\nBorra los semáforos seleccionando ""Agregar/Borrar semáforos"" y haz clic en este cruce.","Cette intersection a des feux rouges.\nSupprimez-les en sélectionnant ""(Dés)activer les feux tricolores"" et en cliquant sur l'intersection.","A csomóponton van egy jelzőlámpa. \nTávolítsa el a jelzőlámpa pontot a ""Jelzőlámpa váltása"" elem kiválasztásával, és kattintson erre a csomópontra.","In questo incrocio c'è un semaforo.\nElimina il semaforo scegliendo ""Attiva/Disattiva semaforo""","この交差点には信号があります。\n信号を削除するには「信号の付け外し」を選んでこの交差点をクリックしてください。","교차로에 신호등을 생성합니다.\n'신호등 추가/제거'를 통해 이 도로 교차로에 신호등을 추가하거나 제거 할 수 있습니다.","De kruising heeft een stoplicht.\nJe kunt het stoplicht verwijderen door eerst op ""stoplichten omwisselen"" te klikken en daarna op de kruising.","Skrzyżowanie posiada sygnalizację. \nUsuń sygnalizację poprzez ""Włącznik sygnalizacji"" i kliknięcie na tym węźle.","O cruzamento tem um semáforo.\nExclua o semáforo, escolhendo ""Interruptor de Semáforos"" e clicando em seu cruzamento.","На перекрёстке работает светофор.\nДля его удаления выберите ""Установка светофора"" и нажмите на этот узел.","具有預設燈號的道路交岔點。\n選用「增刪號誌燈」並點選該道路交岔點來刪除號誌燈。","路口有红绿灯。\n请选择「红绿灯增删」，并点选该路口来删除红绿灯。","Junction has a traffic light.\nDelete the traffic light by choosing ""Switch traffic lights"" and clicking on this node."
"Often","Häufig","Often","Frecuentemente","Souvent","Gyakran","Di frequente","頻繁","자주","Vaak","Często","Frequentemente","Часто","經常","经常","Often"
"Only_if_necessary","Nur falls nötig","Only if necessary","Sólo si es necesario","Seulement si nécessaire","Csak ha szükséges","Solo se necessario","必要時のみ","필요한 경우에만","Alleen indien nodig","Tylko jeśli konieczna","Apenas se necessário","Только при необходимости","僅必要時","仅在必要时","Only if necessary"
"Options","Optionen","Options","Opciones","Paramètres","Opciók","Opzioni","オプション","설정","Instellingen","Opcje","Opções","Свойства","選項","选项","Options"
"Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Opzioni. Semaforo a tempo","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights","Options.Timed traffic lights"
"Persistently_visible_overlays","Dauerhaft sichtbare Overlays","Persistently visible overlays","Datos mostrados en el juego","Annonces en superposition visibles de façon permanente","Tartósan látható átfedések","Overlays visibili persistentemente","オーバーレイ表示し続ける情報","화면에 출력할 코드 선택","Permanent zichtbare projecties","Trwale widoczne nakładki","Sobreposições persistentemente visíveis","Постоянно видимые оверлеи","固定檢視的項目","持续可见的覆盖","Persistently visible overlays"
"Please_wait","Bitte warten","Please wait","Espera por favor","Merci de patienter","Kérlek várj","Attendere prego","お待ちください","잠시만 기다려주십시오","Even geduld graag","Proszę czekać","Por favor, aguarde","Подождите, пожалуйста","請稍候","请稍候","Please wait"
"Prohibit_spawning_of_pocket_cars","Verbiete Cims das Spawnen von Autos ""aus der Tasche heraus""","Prohibit cims to spawn pocket cars","Prohibir la creación de autos pequeños","Empêcher l'apparition de voitures de poche","Tilos a cimkéknek zsebjárművek ívását","Vieta ai ""cims"" di spawnare ""pocket cars""","ポケットカーの生成禁止","시민들의 포켓차량 소환 금지","Verbied opduiken van broekzakautomobielen","Zabroń używania ""kieszonkowych samochodów""","Proibir o spawn de carros de bolso","Запрет появления ""карманных""(из сумки) автомобилей","禁止行人憑空變出汽車移動","禁止袖珍车产生","Prohibit cims to spawn pocket cars"
"Rarely","Selten","Rarely","Raramente","Rarement","Ritkán","Raramente","まれ","드물게","Zelden","Rzadko","Raramente","Редко","偶爾","很少","Rarely"
"Recalculating_lane_routing","Berechne Routenführung neu","Recalculating lane routing","Recalculando la ruta del carril","Recalcul des itinéraires en cours","Újraszámoló sávút","Ricalcolo percorso corsia","レーンルーティングの再計算","모든 경로 재 계산중","Rijstrookroutering wordt herberekend","Ponowne obliczanie tras","Recalculando o roteamento de faixa","Обновление маршрута","重新規劃行駛路線","重新计算车道路线","Recalculating lane routing"
"Remove_zoning","Zonen löschen","Remove zoning","Borrar zona","Retirer le zonage","Távolítsa el a körzetet","Rimuovi zoning","区間の削除","지역설정 제거","Zones verwijderen","Skasuj Strefy","Remover zoneamento","Удалить зонирование","移除區劃","删除分区","Remove zoning"
"requires_game_restart","erfordert einen Neustart des Spiels","requires game restart","Requiere reiniciar el juego","nécessite le redémarrage du jeu","a játék újraindításához szükséges","Richiede il riavvio del gioco","ゲームの再起動が必要","게임 재시작 후 적용됩니다","Vereist spelherstart","wymagane ponowne uruchomienie gry","Requer reinicialização do jogo","требуется перезапуск игры","需要重新啟動遊戲","重启后生效","requires game restart"
"Road_is_already_in_a_group!","Straße ist bereits in einer Gruppe!","Road is already in a group!","¡La calle ya está en un grupo!","Cette route est déjà dans un groupe !","Az Road már van egy csoportban!","La strada è già in un gruppo!","この道路は既にグループ内にあります！","도로에 이미 완성된 그룹이 있습니다!","Weg behoort reeds tot een groep!","Droga jest już w grupie","Pista já esta em um grupo!","Дорога уже находится в группе!","道路已在連鎖群組中","道路已经在组合中","Road is already in a group!"
"Select_a_timed_traffic_light_program","Wähle ein zeitgesteuertes Ampelprogramm aus","Select a timed traffic light program","Seleccionar un semáforo programado","Sélectionner un programme de chronométrage des feux","Válasszon egy időzített jelzőlámpa-programot","Seleziona pattern per il semaforo temporizzato","時間設定付き信号のプログラムを選択してください","선택된 신호등 프로그램","Selecteer een programma voor tijdgestuurde stoplichten","Wybierz program dla czasowej sygnalizacji świetlnej","Selecione um programa de semáforo cronometrado","Выбор режима настраиваемого светофора","請點選一個號誌燈的時相程序","请选择一个红绿灯来设定定时","Select a timed traffic light program"
"Set_all_traffic_lights_to_red","Alle Ampeln auf rot setzen","Set all traffic lights to red","Poner todos los semáforos en rojo","Mettre tous les feux au rouge","Állítsa az összes lámpát pirosra","Imposta tutti i semafori sul Rosso","全信号を赤に設定","모든 신호등을 빨간불로 설정","Alle stoplichten op rood zetten","Ustaw wszystkie sygnalizatory na sygnał czerwony","Definir todos os semáforos para vermelho","Включить везде красный свет","將所有號誌燈設為紅燈","将所有红绿灯设为红灯","Set all traffic lights to red"
"Set_Speed","Geschwindigkeit setzen {0}","Set Speed {0}","Ajustar Velocidad {0}","Régler la vitesse {0}","Állítsa be a sebességet {0}","Imposta velocità {0}","速度{0}に設定","설정된 속도 {0}","Snelheid instellen {0}","Ustaw Prędkość {0}","Setar velocidade {0}","Установка скорости {0}","設定速限 {0}","设定限速 {0}","Set Speed {0}"
"Simulation_accuracy","Genauigkeit der Simulation (höhere Genauigkeit reduziert Performance)","Simulation accuracy (higher accuracy reduces performance)","Precisión de la simulación (más alto reduce el rendimiento)","Précision de la simulation (une plus haute précision réduit les performances)","Szimulációs pontosság (nagyobb pontosság csökkenti a teljesítményt)","Precisione simulazione (Un'elevata precisione riduce le performance)","シミュレーションの正確さ (高いとパフォーマンスが低下します)","시뮬레이션 정확도 (높을수록 더 많은 연산을 요구합니다)","Genauigkeit der Simulation (hogere precisie verlaagt prestaties)","Dokładność symulacji (większa dokładność zmiejsza wydajność gry)","A precisão da simulação (maior precisão reduz o desempenho)","Точность моделирования (высокое значение работает медленнее)","模擬精準度（較高的精準度會降低效能）","模拟真实度（高真实度会影响性能）","Simulation accuracy (higher accuracy reduces performance)"
"Sometimes","Manchmal","Sometimes","A veces","Parfois","Néha","A volte","時々","가끔","Regelmatig","Czasami","Às vezes","Иногда","有時候","偶尔","Sometimes"
"State","Schritt","State","Estado","État","Állapot","Stato","状態","상태","Stap","Stan","Estado","Статус","狀態","状态","State"
"The_Advanced_Vehicle_AI_cannot_be_activated","Die erweiterte Fahrzeug-KI kann nicht aktiviert werden, weil du bereits einen anderen Mod verwendest, der das Verhalten von Fahrzeugen verändern (z.B. Improved AI oder Traffic++).","The Advanced Vehicle AI cannot be activated because you are already using another mod that modifies vehicle behavior (e.g. Improved AI or Traffic++).","La IA de vehículos avanzada no puede ser activada debido a que estás usando algún otro mod que modifica el comportamiento de los vehículos (por ejemplo Improved AI o Traffic++)","L'IA des véhicules avancée ne peut être activée car vous utilisez déjà un autre mod qui modifie le comportement des véhicules (par exemple Improved AI ou Traffic++).","Az Advanced Vehicle AI nem aktiválható, mert már használ egy másik modult, amely módosítja a jármű viselkedését (pl. Improved AI vagy Traffic ++).","La IA Avanzata non può essere attivata perchè stai usando un'altra mod che modifica il comportamento dei veicoli (es. Improved AI o Traffic++).","Advanced Vehicle AIは、車両の振る舞いを変える他のMOD(例えばImproved AIやTraffic++)を既に使っているため、有効にできません.","이미 다른 모드로 차량 AI 향상을 사용 중이므로 발전된 차량 AI를 사용 할 수 없습니다.(예 : 향상된 AI, 트래픽 C++)","De verbeterde voertuig-KI kan niet geactiveerd worden, omdat je reeds aan andere mod gebruikt, die het gedrag van voertuigen verandert (bijv. Improved AI of Traffic++).","Zaawansowana SI nie może zostać włączona, ponieważ aktywowana została inna modyfikacja zmieniająca zachowanie pojazdów (np:. Improved AI lub Traffic++).","a IA avançada não pode ser ativada porque você já esta usando outro mod que modifica o comportamento do veículo (Traffic++, Improved AI por exemplo)","Продвинутый AI не активирован, потому что вами уже используется иной мод, что меняет поведение транспорта (например Improved AI, Traffic++).","加強版車輛AI無法啟動，因為您所使用的其它車輛行控模組正作動中（例如 Improved AI 或 Traffic++）","高级车辆AI无法启动，因为您已启用其他车辆控制MOD","The Advanced Vehicle AI cannot be activated because you are already using another mod that modifies vehicle behavior (e.g. Improved AI or Traffic++)."
"TMPE_Title","Traffic Manager: President Edition","Traffic Manager: President Edition","Traffic Manager: President Edition","Gestionnaire de trafic : Édition Président","Forgalomkezelő: President Edition","Traffic Manager: President Edition","Traffic Manager: President Edition","트래픽 매니저 : 대통령 에디션","Traffic Manager: Presidentiële editie","Menedżer ruchu: Edycja Prezydencka","Traffic Manager: President Edition","Traffic Manager: President Edition","交通管理器：尊爵版","交通管理：总统版","Traffic Manager: President Edition"
"Unit_system","Einheitensystem","Unit system","Sistema de medida","Système d'unités","Egységrendszer","Unità di misura","単位系","유닛 시스템","Eenhedenstelsel","System jednostek","Sistema de unidade","Системы единиц","單位制","单元制度","Unit system"
"Use_alternative_view_mode","Verwende den alternativen Anzeigemodus","Use alternative view mode","Usar modo de vista alternativo","Utiliser le mode de vue alternatif","Használjon alternatív nézet módot","Utilizza modilità vista alternativa","代替表示モードを使用する","대체보기 모드 사용","Gebruik alternatief aanzicht","Użyj alternatywnego widoku","Usar modo de visão alternativo","Альтернативный вид просмотра","使用替代瀏覽模式","使用替代视图模式","Use alternative view mode"
"Use_more_CPU_cores_for_route_calculation_if_available","Verwende mehr CPU-Kerne zur Routenberechnung (falls verfügbar)","Use more CPU cores for route calculation (if available)","Usar más nucleos del procesador para el cálculo de rutas (si está disponible)","Utiliser plus de cœurs du CPU pour le calcul de trajets (si disponible)","Használjon több CPU-magot az útvonal kiszámításához (ha rendelkezésre áll)","Utilizza più core della CPU per il calcolo del percorso (se disponile)","ルート計算にもっとCPUコアを使用する（利用可能な場合）","경로 계산을 위한 더 많은 CPU코어 사용(가능한 경우)","Gebruik meer processorkernen voor routeberekening indien beschikbaar","Użyj więcej rdzeni procesora do obliczania tras (jeśli dostępne)","Usar mais nucleos de CPU para calcular a rota (se disponivel)","Многоядерный процессор для вычисления маршрута (при наличии)","使用更多的CPU核心來做路線運算 (若有的話)","使用更多的CPU核心来计算路线","Use more CPU cores for route calculation (if available)"
"Very_high","Sehr hoch","Very high","Muy alta","Très haute","Nagyon magas","Molto alto","とても高い","매우 높음","Zeer hoog","Bardzo wysoka","Muito Alta","Очень высоко","非常高","非常高","Very high"
"Very_Low","Sehr niedrig","Very Low","Muy Baja","Très Basse","Nagyon alacsony","Molto basso","とても低い","매우 낮음","Zeer laag","Bardzo niska","Muito Baixa","Очень медленно","非常低","非常低","Very Low"
"Very_often","Sehr häufig","Very often","Muy frecuentemente","Très souvent","Nagyon gyakran","Molto di frequente","非常に頻繁","매우 자주","Zeer vaak","Bardzo często","Muitas vezes","Очень часто","很頻繁","总是","Very often"
"Very_rarely","Sehr selten","Very rarely","Muy raramente","Très rarement","Nagyon ritkán","Molto raramente","非常にまれ","매우 드물게","Zeer zelden","Bardzo Rzadko","Muito raramente","Очень редко","甚少","极少","Very rarely"
