English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
Select_nodes_windowTitle,请选择路口,請點選道路交岔點,Kruisingselectie,"Select nodes","Select nodes","Sélection des intersections","Auswahl der Kreuzungen","Válassza ki a csomópontokat","Seleziona nodi",交差点の選択,"선택된 교차로 목록","Wybór węzłów","Selecione um cruzamento","Список узлов","Seleccionar cruces",Strings.csv
Select_nodes,请选择路口,請點選道路交岔點,"Selecteert één of meerdere kruisingen","Select nodes","Select nodes","Sélectionnez des intersections","Wähle eine oder mehrere Kreuzungen aus","Válassza ki a csomópontokat","Seleziona nodi",交差点を選択してください,"교차로를 선택하세요","Wybierz węzły","Selecione cruzamento(s)","Выберите перекрёстки","Seleccionar cruces",Strings.csv
Node,路口,道路交岔點,Kruising,Node,Node,Intersection,Knotenpunkt,Csomópont,Nodo,交差点,도로,Węzeł,Cruzamento,Узел,Cruce,Strings.csv
Deselect_all_nodes,取消选择所选路口,取消選擇所有道路交岔點,"Deselecteer alle kruisingen","Deselect all nodes","Deselect all nodes","Désélectionner toutes les intersections","Auswahl löschen","Törölje az összes csomópont kijelölését","Deseleziona tutti i nodi",全交差点の選択を解除,"모든 교차로 선택 취소","Odznacz wszystkie węzły","Cancelar a seleção de todos os cruzamentos","Очистить список","Deseleccionar todos los cruces",Strings.csv
Setup_timed_traffic_light,设置红绿灯定时,設定號誌燈時相,"Tijdgestuurde stoplichten inrichten","Setup timed traffic light","Setup timed traffic light","Créer un chronométrage des feux","Zeitgesteuerte Ampel einrichten","Beállítás időzített jelzőlámpa","Configura semaforo temporizzato",時間設定付き信号の設定,"신호등 시간 설정","Ustaw czasową sygnalizację świetlną","Criar semáforo cronometrado","Настройка интервала времени","Ajustar semáforos programados",Strings.csv
State,状态,狀態,Stap,State,State,État,Schritt,Állapot,Stato,状態,상태,Stan,Estado,Статус,Estado,Strings.csv
Skip,跳过,跳過,Verder,Skip,Skip,Passer,Weiter,Skip,Salta,次へ,스킵,Pomiń,Pular,Пропустить,Saltar,Strings.csv
up,往上,上移,omhoog,up,up,haut,hoch,fel,Su,上へ,위로,"w górę",cima,вверх,arriba,Strings.csv
down,往下,下移,omlaag,down,down,bas,runter,le-,Giù,下へ,아래로,"w dół",baixo,вниз,abajo,Strings.csv
View,视图,檢視,Weergeven,View,View,Voir,Anzeigen,Kilátás,Vedi,表示,보기,Wyświetl,Ver,Смотреть,Ver,Strings.csv
Edit,编辑,編輯,Wijzigen,Edit,Edit,Modifier,Ändern,szerkesztése,Modifica,編集,수정,Edytuj,Editar,Править,Editar,Strings.csv
Delete,删除,刪除,Verwijderen,Delete,Delete,Suppr.,Löschen,Töröl,Elimina,削除,삭제,Skasuj,Apagar,Удалить,Borrar,Strings.csv
Timed_traffic_lights_manager,红绿灯定时设置工具,號誌燈時相設定工具,"Beheer van tijdgestuurde stoplichten","Timed traffic lights manager","Timed traffic lights manager","Gestionnaire de feux tricolores chronométrés","Verwaltung zeitgesteuerter Ampeln","Időzített lámpák kezelője","Gestore semafori temporizzati",時間設定付き信号の管理,"신호등 시간표 관리자","Menedżer Sygnalizacji czasowej","Gerenciador de semáforos cronometrados","Управление настраиваемым светофором","Administrador de semáforos programados",Strings.csv
Add_step,添加定时,增加時相,"Stap toevoegen","Add step","Add step","Ajouter un état","Schritt hinzufügen","Add a lépés","Aggiungi stato",状態の追加,"단계 추가","Dodaj krok","Adicionar Passo","Добавить шаг","Añadir fase",Strings.csv
Remove_timed_traffic_light,删除红绿灯定时设置,移除號誌燈時相設定,"Stoplichten verwijderen","Remove timed traffic light","Remove timed traffic light","Retirer le chronométrage","Ampel entfernen","Távolítsa el az időzített lámpát","Rimuovi semaforo temporizzato",時間設定付き信号の削除,"설정된 신호등 시간표 제거","Usuń sygnalizację czasową","Remover semáforo cronometrado","Выключить настраиваемый светофор","Borrar semáforo programado",Strings.csv
Min._Time:,最短时间(秒),最短時間,"Min. tijd:","Min. Time:","Min. Time:","Temps Min :","Min. Zeit:","Min. Idő:","Min. Tempo:",最短時間:,"최소 시간 :","Min. Czas:","Tempo Min.:","Мин. время:","Tiempo min:",Strings.csv
Max._Time:,最长时间(秒),最長時間,"Max. tijd:","Max. Time:","Max. Time:","Temps Max :","Max. Zeit:","Max. Idő:","Max. Tempo:",最長時間:,"최대 시간 :","Max. Czas:","Tempo Max.:","Макс. время:","Tiempo máx:",Strings.csv
Save,保存,儲存,Opslaan,Save,Save,Sauvegarder,Speichern,Mentés,Salva,保存,저장,Zapisz,Salvar,Сохранить,Guardar,Strings.csv
Add,添加,增加,Toevoegen,Add,Add,Ajouter,Hinzufügen,hozzáad,Aggiungi,追加,추가,Dodaj,Adicionar,Добавить,Agregar,Strings.csv
Sensitivity,灵敏度,靈敏度,Gevoeligheid,Sensitivity,Sensitivity,Sensibilité,Empfindlichkeit,Érzékenység,Sensibilità,感度,"신호등 주기 범위",Czułość,Sensibilidade,Чувствительность,Sensibilidad,Strings.csv
Very_Low,非常低,非常低,"Zeer laag","Very Low","Very Low","Très Basse","Sehr niedrig","Nagyon alacsony","Molto basso",とても低い,"매우 낮음","Bardzo niska","Muito Baixa","Очень медленно","Muy Baja",Strings.csv
Low,低,低,Laag,Low,Low,Basse,Niedrig,Alacsony,Basso,低い,낮음,Niska,Baixa,Замедленное,Baja,Strings.csv
Medium,中,中,Middelhoog,Normal,Medium,Moyenne,Mittel,Közepes,Medio,中くらい,중간,Średnia,Média,Среднее,Media,Strings.csv
High,高,高,Hoog,High,High,Haute,Hoch,Magas,Alto,高い,높음,Wysoka,Alta,Высокое,Alta,Strings.csv
Very_high,非常高,非常高,"Zeer hoog","Very high","Very high","Très haute","Sehr hoch","Nagyon magas","Molto alto",とても高い,"매우 높음","Bardzo wysoka","Muito Alta","Очень высоко","Muy alta",Strings.csv
Extreme_long_green/red_phases,极长的红绿灯时间,最長的紅、綠燈時相,"Extreem lange groen-/roodfasen","Extreme long green/red phases","Extreme long green/red phases","Phases rouge/vert extrêmement longues","Extrem lange Grün-/Rotphasen","Rendkívül hosszú zöld / piros fázis","Passaggio verde/rosso estremamente lungo",混雑してきてもほとんど切り替えない,"극도로 긴 신호등 주기 변화","Ekstremalnie długi ziel./czerw.","Fases verde/vermelho extremamente longa","Слишком долгие фазы зелёный/красный","Fases verde/rojo extremadamente largas",Strings.csv
Very_long_green/red_phases,非常长的红绿灯时间,非常長的紅、綠燈時相,"Zeer lange groen-/roodfasen","Very long green/red phases","Very long green/red phases","Phases rouge/vert très longues","Sehr lange Grün-/Rotphasen","Nagyon hosszú zöld / piros fázis","Passaggio verde/rosso molto lungo",混雑してきてもあまり切り替えない,"매우 긴 신호등 주기 변화","Bardzo długi ziel./czerw.","Fases verde/vermelho muito longa","Очень долгие фазы зелёный/красный","Fases verde/rojo muy largas",Strings.csv
Long_green/red_phases,较长的红绿灯时间,稍長的紅、綠燈時相,"Lange groen-/roodfasen","Long green/red phases","Long green/red phases","Phases rouge/vert longues","Lange Grün-/Rotphasen","Hosszú zöld / piros fázis","Passaggio verde/rosso lungo",混雑具合によってそこそこに切り替える,"긴 신호등 주기 변화","Długi ziel./czerw.","Fases verde/vermelho longa","Долгие фазы зелёный/красный","Fases verde/rojo largas",Strings.csv
Moderate_green/red_phases,适当的红绿灯时间,中等的紅、綠燈時相,"Normale groen-/roodfasen","Moderate green/red phases","Moderate green/red phases","Phases rouge/vert moyennement longues","Moderate Grün-/Rotphasen","Mérsékelt zöld / piros fázis","Passaggio verde/rosso moderato",混雑具合によって適度に切り替える,"평범한 신호등주기 변화","Średni okres ziel./czerw.","Fases verde/vermelho moderada","Умеренные фазы зелёный/красный","Fases verde/rojo moderadas",Strings.csv
Short_green/red_phases,较短的红绿灯时间,稍短的紅、綠燈時相,"korte groen-/roodfasen","Short green/red phases","Short green/red phases","Phases rouge/vert courtes","Kurze Grün-/Rotphasen","Rövid zöld / piros fázis","Passaggio verde/rosso corto",混雑具合によって細かく切り替える,"짧은 신호등주기 변화","Krótki ziel./czerw.","Fases verde/vermelho curta","Короткие фазы зелёный/красный","Fases verde/rojo cortas",Strings.csv
Very_short_green/red_phases,非常短的红绿灯时间,非常短的紅、綠燈時相,"Zeer korte groen-/roodfasen","Very short green/red phases","Very short green/red phases","Phases rouge/vert très courtes","Sehr kurze Grün-/Rotphasen","Nagyon rövid zöld / piros fázis","Passaggio verde/rosso molto corto",混雑具合によってとても細かく切り替える,"매우 짧은 신호등주기 변화","Bardzo krótki ziel./czerw.","Fases verde/vermelho muito curta","Очень короткие фазы зелёный/красный","Fases verde/rojo muy cortas",Strings.csv
Extreme_short_green/red_phases,极短的红绿灯时间,最短的紅、綠燈時相,"Extreem korten groen-/roodfasen","Extreme short green/red phases","Extreme short green/red phases","Phases rouge/vert extrêmement courtes","Extrem kurze Grün-/Rotphasen","Rendkívül rövid zöld / piros fázis","Passaggio verde/rosso estremamente corto",混雑具合によって非常に細かく切り替える,"극도로 짧은 신호등주기 변화","Ekstremalnie krótki ziel./czerw.","Fases verde/vermelho extremamente curta","Слишком короткие фазы зелёный/красный","Fases verde/rojo extremadamente cortas",Strings.csv
Hide_counters,隐藏计数器,隱藏讀秒,"Tellers verbergen","Hide counters","Hide counters","Masquer les compteurs","Zähler verstecken","A számlálók elrejtése","Nascondi countdown",カウンターの非表示,"카운터 숨기기","Ukryj liczniki","Ocultar contadores","Скрыть счётчики","Ocultar contadores",Strings.csv
Show_counters,显示计数器,顯示讀秒,"Tellers tonen","Show counters","Show counters","Afficher les compteurs","Zähler anzeigen","Mutasd a számlálókat","Mostra countdown",カウンターの表示,"카운터 보이기","Pokaż liczniki","Mostrar contadores","Показать счётчики","Mostrar contadores",Strings.csv
Start,启动,啟用,Start,Start,Start,Démarrer,Anfang,Rajt,Avvia,開始,시작,Start,Iniciar,Начать,Iniciar,Strings.csv
Stop,停止,停止,Stop,Stop,Stop,Arrêt,Stopp,"Állj meg",Stop,停止,중지,Stop,Parar,Остановить,Detener,Strings.csv
Enable_test_mode_(stay_in_current_step),启用测试模式（保持当前步骤）,允許測試模式（停留在當前時相）,"Testmodus activeren (huidige stap vasthouden)","Enable test mode (stay in current step)","Enable test mode (stay in current step)","Activer le mode test (rester dans l'état actuel)","Testmodus aktivieren (im aktuellen Schritt bleiben)","Tesztmód engedélyezése (maradjon az aktuális lépésben)","Abilita modalità test (rimani nello step corrente)","テストモード有効 (現在の状態に留まる)","테스트 모드 활성화 (현 상태를 유지한 채 진행)","Aktywuj tryb testu (pozostań w tym kroku)","Ativar modo de teste (Mantém no passo atual)","Тестовый режим (остаться в текущем шаге)","Activar modo de prueba (mantiene la fase actual)",Strings.csv
avg._flow,平均通行,平均通過,rijdend,"avg. flow","avg. flow","flux moy.",fahrend,"átl. folyam","Flusso medio",平均流量,"평균 흐름","śr. przepływ","fluxo médio","средний поток","Tránsito promedio",Strings.csv
avg._wait,平均等待,平均停等,wachtend,"avg. wait","avg. wait","attente moy.",wartend,"átl. várjon","Attesa media",平均待ち,"평균 대기","śr. oczekiwanie","Espera média","среднее ожидание","Espera promedio",Strings.csv
min/max,最短/最长,最短/最長,min/max,min/max,min/max,min/max,min/max,"minimum maximum",min/max,最短/最長,최소/최대,min/maks,min/max,мин/макс,min/máx,Strings.csv
Lane,车道,車道,Rijstrook,Lane,Lane,Voie,Fahrspur,Sáv,Corsia,車線,차선,Pas,Pista,Полоса,Vía,Strings.csv
Set_Speed,"设定限速 {0}","設定速限 {0}","Snelheid instellen {0}","Set Speed {0}","Set Speed {0}","Régler la vitesse {0}","Geschwindigkeit setzen {0}","Állítsa be a sebességet {0}","Imposta velocità {0}",速度{0}に設定,"설정된 속도 {0}","Ustaw Prędkość {0}","Setar velocidade {0}","Установка скорости {0}","Ajustar Velocidad {0}",Strings.csv
Max_speed,最高限速,最高速限,"Max. snelheid","Max speed","Max speed","Vitesse max.","Max. Geschwindigkeit","teljes sebesség","Velocità massima",最大速度,"최고 속도","Max Prędkość","Velocidade Máxima","Макс. скорость","Velocidad Máxima",Strings.csv
Segment,路段,路段,Segment,Segment,Segment,Segment,Segment,szegmens,Segmento,道路,세그먼트(구간),Segment,Segmento,Сегмент,Segmento,Strings.csv
incoming,进入,進入,inkomend,incoming,incoming,bientôt,eingehend,beérkező,"In arrivo",台流入,들어오는,nadjeżdżające,entrando,входящее,viniendo,Strings.csv
Enable_Advanced_Vehicle_AI,启用高级车辆AI,"啟用加強版行車 AI","Verbeterde voertuig-KI activeren","Enable Advanced Vehicle AI","Enable Advanced Vehicle AI","Activer l'IA avancée des véhicules","Verbesserte Fahrzeug-KI aktivieren","Engedélyezze az Advanced Vehicle AI-t","Abilita IA dei Veicoli Avanzata","Advanced Vehicle AIを有効にする","발전된 차량 AI 활성화","Włącz Zaawansowaną Sztuczną Inteligencję Pojazdów","Ativar IA avançada de veículo","Активировать продвинутый AI","Activar IA de vehículos avanzada",Strings.csv
Vehicles_may_enter_blocked_junctions,车辆可以进入堵塞路口加塞,塞車回堵時不用保持路口淨空。,"Voertuigen moge geblokkeerde kruisingen oprijden","Vehicles may enter blocked junctions","Vehicles may enter blocked junctions","Les véhicules peuvent entrer dans les intersections bloquées","Fahrzeuge dürfen in blockierte Kreuzungen einfahren","A járművek blokkolt kereszteződésekbe léphetnek be","I veicoli possono entrare/occupare un incrocio bloccato",交差点内での停車を許可,"차량이 진입 금지도로에 들어갈 수 있습니다.","Pojazdy mogą wjeżdżać na zablokowane skrzyżowania","Veículos podem entrar em cruzamentos bloqueados","Разрешить заезжать на заблокированные перекрёстки","Vehículos pueden entrar a cruces bloqueados",Strings.csv
All_vehicles_may_ignore_lane_arrows,所有车辆可忽略车道方向,所有車輛可忽略車道遵行方向,"Alle voertuigen mogen voorsorteerpijlen negeren","All vehicles may ignore lane arrows","All vehicles may ignore lane arrows","Tous les véhicules peuvent ignorer les directions des voies","Alle Fahrzeuge dürfen Richtungspfeile ignorieren","Minden jármű figyelmen kívül hagyhatja a sávnyilakat","Tutti i veicoli possono ignorare le frecce di direzione",全車両に対して車線矢印の無視を許可,"모든 차량이 도로 화살표를 무시 할 수 있습니다.","Wszystkie pojazdy mogą ignorować strzałki pasów","Todos os veículos podem ignorar setas da pista","Весь транспорт может игнорировать стрелки движения","Todos los vehículos pueden ignorar las flechas de las vías",Strings.csv
Busses_may_ignore_lane_arrows,公交车可忽略车道方向,公車可忽略車道遵行方向,"Bussen mogen voorsorteerpijlen negeren","Buses may ignore lane arrows","Buses may ignore lane arrows","Les bus peuvent ignorer les directions des voies","Busse dürfen Richtungspfeile ignorieren","A buszok figyelmen kívül hagyhatják a sávnyilakat","I bus possono ignorare le frecce di direzione",バスに対して車線矢印の無視を許可,"버스가 도로 화살표를 무시 할 수 있습니다.","Autobusy mogą ignorować strzałki pasów","ônibus podem ignorar setas da pista","Автобусы могут игнорировать стрелки движения","Buses pueden ignorar flechas de las vías",Strings.csv
Reckless_driving,违规驾驶,違規駕駛率（功能測試中）,"Roekeloos rijden","Reckless driving","Reckless driving","Conduite téméraire","Rücksichtsloses Fahren","Felelőtlen vezetés","Guida spericolata","無謀運転 (ベータ機能/いくらかの市民が交通ルールを無視します)","난폭 운전 (베타 기능)","Lekkomyślna jazda (funkcja w wer. BETA)","Direção imprudente (recurso BETA)","Опасное вождение","Conducción agresiva (BETA)",Strings.csv
TMPE_Title,交通管理：总统版,交通管理器：尊爵版,"Traffic Manager: Presidentiële editie","Traffic Manager: President Edition","Traffic Manager: President Edition","Gestionnaire de trafic : Édition Président","Traffic Manager: President Edition","Forgalomkezelő: President Edition","Traffic Manager: President Edition","Traffic Manager: President Edition","트래픽 매니저 : 대통령 에디션","Menedżer ruchu: Edycja Prezydencka","Traffic Manager: President Edition","Traffic Manager: President Edition","Traffic Manager: President Edition",Strings.csv
Settings_are_defined_for_each_savegame_separately,"设置于每个存档独立存储\n(载入存档时会读取该存档中所存储的存档时TMPE的设置.建议载入存档后设置再存档,以后就不用再重复设置)",每個存檔保有各自獨立的設定,"Instellingen worden per spelstand opgeslagen","Settings can only be changed whilst in-game, and are unique to each save game.","Settings can only be changed whilst in-game, and are unique to each save game.","Paramètres définis pour chaque sauvegarde séparément","Einstellungen werden pro Spielstand gespeichert","A beállításokat csak a játék közben változtathatja meg, és minden mentett játékhoz egyedi.","I settaggi possono essere impostati separatamente per ogni salvataggio",設定は各セーブデータ毎に保存されます,"설정은 각 저장된 게임마다 별개로 작동합니다.","ustawienia są definiowane oddzielnie dla każdego zapisu","As configurações são definidas para cada jogo salvo separadamente","Настройки записываются отдельно в каждую сохранённую игру","Los ajustes son definidos para cada partida por separado",Strings.csv
Simulation_accuracy,模拟真实度（高真实度会影响性能）,模擬精準度（較高的精準度會降低效能）,"Genauigkeit der Simulation (hogere precisie verlaagt prestaties)","Simulation accuracy (higher accuracy reduces performance)","Simulation accuracy (higher accuracy reduces performance)","Précision de la simulation (une plus haute précision réduit les performances)","Genauigkeit der Simulation (höhere Genauigkeit reduziert Performance)","Szimulációs pontosság (nagyobb pontosság csökkenti a teljesítményt)","Precisione simulazione (Un'elevata precisione riduce le performance)","シミュレーションの正確さ (高いとパフォーマンスが低下します)","시뮬레이션 정확도 (높을수록 더 많은 연산을 요구합니다)","Dokładność symulacji (większa dokładność zmiejsza wydajność gry)","A precisão da simulação (maior precisão reduz o desempenho)","Точность моделирования (высокое значение работает медленнее)","Precisión de la simulación (más alto reduce el rendimiento)",Strings.csv
Enable_highway_specific_lane_merging/splitting_rules,实行高速公路特定车道合流/分离规则,施行高速公路獨特的車道單邊出入規則,"Activeer speciale verkeersregels op snelwegen","Enable highway specific lane merging/splitting rules","Enable highway specific lane merging/splitting rules","Activer les règles spécifiques de divergence/convergence sur les autoroutes","Aktiviere spezifische Einordnungsregeln auf der Autobahn","Az autópálya-specifikus sáv-összevonási / felosztás-szabályok engedélyezése","Abilita regolazione specifica per le corsie autostradali",高速道路特有の車線合流/分離ルールを適用する,"고속도로 특정도로 병합/분할 기능 활성화","Aktywuj Zmienione zasady podziału/łączenia pasów dla autostrad","Habilitar regras de divisão e mesclagem de rodovia","Включить особые правила слияния/пересечения полос на шоссе","Activar control de unión/división de vías de autopista",Strings.csv
Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled):,司机倾向变更车道（仅适用于高级AI启用时),"駕駛人變換車道的習慣（僅適用於加強版 AI 啟用時）","Autobestuurders wisselen van rijstrook (heeft alleen effect als de KI ingeschakeld is)","Drivers like to change their lane (only applied if Advanced AI is enabled)","Drivers like to change their lane (only applied if Advanced AI is enabled)","Les conducteurs veulent changer de voies (seulement si l'IA avancée est activée) :","Autofahrer wechseln ihre Spur (wird nur angewendet wenn die KI eingeschaltet ist)","A járművezetők szeretnék megváltoztatni a sávot (csak akkor alkalmazzák, ha az Advanced AI engedélyezve van)","Agli automobilisti piace cambiare corsia (applicata solo se attiva la IA dei Veicoli Avanzata)","車線変更の頻度 (Advanced AI有効時のみ適用されます)","운전자가 차선을 변경합니다 (발전된 차량 AI를 사용 중일 때만 적용됩니다)","Chęć kierowców do zmiany pasa (tylko gdy Zaawansowana SI jest włączona)","Motoristas gostam de mudar sua faixa:\n(só é aplicado se IA avançada de veiculo estiver habilitado)","Водители могут перестраиваться на более свободные полосы (только при продвинутом AI):","Conductores prefieren cambiar de vía (sólo si IA Avanzada está activada)",Strings.csv
Maintenance,维护,錯誤修復,Onderhoud,Maintenance,Maintenance,Maintenance,Wartung,Karbantartás,Manutenzione,メンテナンス,"유지보수 (추가정보)",Konserwacja,Manunteção,Инструменты,Mantenimiento,Strings.csv
Very_often,总是,很頻繁,"Zeer vaak","Very often","Very often","Très souvent","Sehr häufig","Nagyon gyakran","Molto di frequente",非常に頻繁,"매우 자주","Bardzo często","Muitas vezes","Очень часто","Muy frecuentemente",Strings.csv
Often,经常,經常,Vaak,Often,Often,Souvent,Häufig,Gyakran,"Di frequente",頻繁,자주,Często,Frequentemente,Часто,Frecuentemente,Strings.csv
Sometimes,偶尔,有時候,Regelmatig,Sometimes,Sometimes,Parfois,Manchmal,Néha,"A volte",時々,가끔,Czasami,"Às vezes",Иногда,"A veces",Strings.csv
Rarely,很少,偶爾,Zelden,Rarely,Rarely,Rarement,Selten,Ritkán,Raramente,まれ,드물게,Rzadko,Raramente,Редко,Raramente,Strings.csv
Very_rarely,极少,甚少,"Zeer zelden","Very rarely","Very rarely","Très rarement","Sehr selten","Nagyon ritkán","Molto raramente",非常にまれ,"매우 드물게","Bardzo Rzadko","Muito raramente","Очень редко","Muy raramente",Strings.csv
Only_if_necessary,仅在必要时,僅必要時,"Alleen indien nodig","Only if necessary","Only if necessary","Seulement si nécessaire","Nur falls nötig","Csak ha szükséges","Solo se necessario",必要時のみ,"필요한 경우에만","Tylko jeśli konieczna","Apenas se necessário","Только при необходимости","Sólo si es necesario",Strings.csv
